image_id,id,caption,preposition,subject,object,verb,wrong_preposition,wrong_caption
321333,770625,A picture of two young kids posing or a picture.,,,,,,
366611,765550,a dog laying on a soccer ball on a field.,,,,,,
490171,370135,A man and a dog riding a surf board in the water .,,,,,,
491757,694991,A cat with blue eyes sitting on a pink bed.,,,,,,
247806,768641,A clock on a bell tower of an old church.,,,,,,
145620,734511,a black and white photo of a person riding a dirt bike,,,,,,
537270,566393,three people sitting at a table with their cellphones,,,,,,
358427,51721,a close up of a  fork holding some cooked broccoli,,,,,,
250766,492389,A plate topped with meat and a salad.,,,,,,
130579,15681,A pitcher about to pitch in a baseball game.,,,,,,
13348,734907,A JAL jetliner on the tarmac at an airport.,,,,,,
129756,460679,A man is standing on a grassy hill with some sheep and dogs.,,,,,,
242060,628993,A plate of cupcakes on a napkin with spoons and drink glasses.,,,,,,
35326,711283,A stove that has a spice rack next to it.,,,,,,
146457,124819,two children being entertained by preparing pizza at home.,,,,,,
233370,622366,A person laying crushed underneath a black piece of luggage.,,,,,,
430961,770470,A baseball player pitching a baseball on top of a field.,,,,,,
488270,750839,A white airplane is driving down the runway.,,,,,,
364297,144988,a cat laying on a computer keyboard and a monitor near by,,,,,,
397354,128515,a woman is giving a baby a bottle while others are congregated in the kitchen,,,,,,
357459,93596,a small dog jumping up to reach a frisbee,,,,,,
259571,584465,A group of people in the back of a dump-truck. ,,,,,,
520324,206160,A small airplane sitting next to an airport runway.,,,,,,
309467,762204,Two skiers in dark clothing are standing on the snowy slope. ,,,,,,
564336,690171,a man at a restaurant using his laptop ,,,,,,
455624,189493,Person driving a plated motorcycle on a track with people watching.,,,,,,
134034,275927,Two brown horses grazing in a field next to a tree.,,,,,,
47112,35767,A close up image of a half onion and mushroom pizza. ,,,,,,
164637,283744,A sink and mirror in a very small bathroom.,,,,,,
473219,687166,A man and woman look into each others eyes while getting married.,,,,,,
425361,614657,A man at an office desk drinking a glass of wine.,,,,,,
48564,215117,A man standing in the snow while talking on a cell phone.,,,,,,
293300,171821,Two large elephants standing next to a wire fence.,,,,,,
407868,292466,The man in the park is flying his kite. ,,,,,,
67616,99171,Street scene with USA and Mexican flags flying from building above restaurant tables on sidewalk.,,,,,,
184611,85883,A city street with small carts bing peddled by a men on bikes ,,,,,,
386879,84251,A woman wearing a red tennis outfit holding onto a racquet.,,,,,,
426253,808279,A plate of food being heated in a microwave.,,,,,,
57150,365933,A girl in plain dress standing next to a white teddy bear.,,,,,,
155154,73388,"Some sort of bathroom facility, possibly in an airplane.",,,,,,
563470,488117,a person leaning with her head on a bat ,,,,,,
486046,426237,a close up of a giraffe with a zebra in the background,,,,,,
368900,104038,A TV sits in a room with many other things. ,,,,,,
407298,414035,A young boy wearing a catchers mitt holding a ball.,,,,,,
76261,255949,two birds fly in the sky over mountains,,,,,,
556765,36608,An elephant with red on it's face in the water. ,,,,,,
425702,41595,A man walking on the beach carrying a surfboard.,,,,,,
500565,285753,A woman holding a child wrapped in a towel brushing her teeth.,,,,,,
546556,787666,A flock of sheep lie down in a field.,,,,,,
