image_id,id,caption
190236,401,An office cubicle with four different types of computers.
517069,447,Two women waiting at a bench next to a street.
182417,856,A beautiful dessert waiting to be shared by two people.
172330,1536,A cat in between two cars in a parking lot.
109976,3202,A white stove sits between two small counter tops.
172330,5037,A cat stands between two parked cars on a grassy sidewalk.
172330,5406,A cat at attention between two parked cars.
472678,7482,An office desk with two flat panel monitors.
534605,8173,Three men standing around their motorcycles in a parking lot.
534605,8272,Group of three motorcyclists standing in front of their motorcycles.
11511,10030,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them.
11511,10939,A metal statue of two women sits on a bench in a city street.
472678,11319,"An office desk with two computer screens, books diagrams and a phone on it."
472678,11616,Two computer monitors are placed beside each other on a desk.
63740,14472,Two computers sitting on top of a desk.
472678,16074,A desk with two monitors depicting security cameras.
11511,16927,A statue of two women with purses sitting on a bench.
249025,17536,There are two yellow flowers inside a vase.
11511,19042,A statue of two people sitting on a bench.
63740,19458,A desktop with two computers and fruit on it.
11511,19711,A metal statue of two women sitting on a bench.
393569,19942,Three people live in one room who share a bathroom.
192871,19973,One apple and several oranges sit in a bowl.
249025,20431,Two orange roses in a small vase with water.
221754,22603,A four cross street of a downtown area.
177934,24725,Two young women are washing two motorcycles with hoses..
63740,27981,a laptop computer a keyboard and two monitors.
201775,29195,A bathroom with two urinals and a sink.
298396,29483,A fully-stocked kitchen with no one in it.
201775,30641,"A public bathroom with two urinals on a wall, and sink with a mirror over it on another wall."
201775,30707,Two urinals and a sink in a bathroom.
557501,33461,a bathroom with two sinks near towel and soap dispensers.
557501,33746,A restroom with two sinks and a red colored stall.
127987,35494,A baseball player bobble head next to two computer monitors on a desk.
435880,37728,A refrigerator and freezer placed next to one another.
368335,39043,a brown horse is walking in between two cars.
204186,40309,Racers riding four wheelers while a crowd watches.
368335,41113,A horse walking between the parking spaces of two cars.
127987,42985,A desk with two computer screens and a Cecil Cooper bobble head.
368335,43048,A horse is standing between two parked cars.
204186,43060,Spectators enjoying a show of two men on four-wheelers.
204186,43843,Two men ride on atv's and tilt them to the side.
423798,44241,"An empty street at night with bright lights shining from the light poles, and one very bight light reflecting off the pavement."
204186,45322,Two men doing a stunt show on four wheeler ATV vehicles.
368335,45775,"From the rear, we see a horse standing between two cars parked in a parking lot."
102411,50819,Two people riding a motorcycle to the beach.
102411,56807,Two people sitting on a motorcycle in the street next to a beach.
543047,59777,"A living room and dining room have two tables, couches, and multiple chairs."
102411,61028,Two people are riding a motorcycle on the beach.
86220,64471,A white car and a white bus parked parallel from one another.
571804,70521,Ten porcelain pieces with floral patterns painted on them.
78404,70600,Three women sitting on a park bench next to each other.
71711,75935,An air hanger with two world war two airplanes parked next to each other.
221708,76267,A kitchen with a table and four chairs.
85576,76602,An empty toilet stall with two rolls of used toilet paper and one full roll.
85576,77508,Two empty toilet paper roll holders hang in the stall while the empties lay around and a nice roll sets on the bar.
571857,85001,"In the desert, two people are sitting next to a small propeller plane next to a tent with other planes in the background."
163746,85903,Two almost identical photos with some minor cropping show two young girls standing on the coast with people in the water in the background as a plane flies overhead.
571857,90485,two people outside sitting on chairs with planes around them.
571857,98324,two people are camping out in the desert.
214192,100329,two motocross racers in the middle of a race.
214192,101382,Two competitors skidding during a dirt bike competition.
214192,102447,A picture of two motorcross people skidding in the dirtroad.
214192,107862,two people on dirt bikes making turns on a track.
206135,111064,The view of four cows standing in a row from behind.
206135,115039,Four cows stand in the parking lot of a church.
216497,116851,In an unfinished room a counter sits with three chairs while a stove and cabinets sit in the distance.
1761,117569,Two planes flying in the sky over a bridge.
3661,118293,The four huge bananas are still connected together.
441586,119284,a person riding a two thick wheeled bike on sand.
1761,119546,"Two planes fly over a bridge in Sydney, Australia, with the Sydney Opera House in the background."
441586,119737,A man standing on a vehicle with two large wheels.
537812,120417,A small bathroom with two containers catching plumbing drips.
58705,121587,Two people posing in funny hats for a camera.
1761,123905,two jets are flying over a bridge and some water.
1761,123944,Two airplanes flying in the sky above a black bridge.
267351,126355,Two clocks on perpendicular facades of a church bell tower.
427338,130715,Two men are riding motorcycles through some ruins.
527220,133025,A red Ferrari at a gas station showing the gas prices and three mopeds.
122217,133434,Two people skateboarding down a roadway in a downhill descent.
206135,135823,Four cow rears stand in front of a building with a steeple.
122217,136170,Two male skateboarders rolling down a paved slope.
168337,136635,Two people outside of a stone building near a red fire hydrant.
122217,137943,"Two longboarders coasting, crouched, across a downhill road."
58705,139221,There are two people posing and one man is holding a banana.
122217,140499,two people riding skate boards on a hilly road.
122217,142149,Two people on skateboards riding down a slanted road.
168337,142653,There are two people standing on the side of a street.
206135,158965,There are four cows standing on the side of a road.
522751,162232,A traffic signal next to two other traffic signals.
435003,167840,A desk with two computer monitors and a laptop.
435003,168482,A computer desk that has three monitors on top of it.
491090,169865,A man sitting on one of a group of motorcycles.
130826,171485,Two men sitting next to each other on a wooden bench.
472623,175846,A man balances his bicycle on one wheel.
384850,176156,A bathroom with a shower curtain that has four palm trees on it and a white tile floor.
435003,177335,A computer workstation with a laptop and two additional monitors.
384850,177674,A bathroom with a white shower curtain that has four trees on it.
531707,185285,Four older men sitting on a wooden bench.
130826,185306,two elder people sit on a bench on a bus street.
531707,185792,A black and white photo of four elderly people sitting in a bench overlooking the ocean.
53505,186030,There are a variety of bottles and two towels over the toilet.
570782,187008,Three computers without screens sit on a desk.
531707,188567,A group of four elders sit on a park bench in front of the ocean.
69213,189060,Two men wearing suits and hats are walking together.
408112,193073,Two airplanes are parked on the landing strip.
221502,195569,A memorial park bench with two pots of cut flowers.
243495,197203,There are two rolls of toilet paper and a hand dispenser on the bathroom wall.
69213,197682,Two men in blazers and fedoras with a moped in the background.
286907,199497,A simple blue bathroom with only one toilet.
553094,202399,two gray jets are flying next to each other.
69213,203784,Two men who are wearing suits and hats standing next to each other.
69213,204414,two men wearing hats standing next to each other.
69213,205830,Two men are dressed in blazers and hats in a rural village area.
84752,206324,a jet on three pillars in front of a building.
570782,206637,a desk with two laptops and a monitor.
84752,206684,A fighter jet sitting on top of a set of three cement blocks.
408112,209795,One white and red plane and one grey plane on the ground.
536343,211955,Photo of a bathtub with two towels placed on a rack at the far end of the tub.
8211,215677,Two people are sitting on chairs talking on at a corner.
8211,216061,Two men sitting on the street in front of a building.
34873,216966,a black counter a sink and a table and two chairs.
570782,220185,Three computers sit opened on top of the desk.
293324,232469,Three Finnair planes are parked at the gates on this side of the terminal.
33854,233673,Two cars facing towards a variety of motorcycles.
8211,235663,Two men setting next to each other on the street.
33854,235710,Two very old time cars in front of a group of motorcycles.
467511,243628,Two adults with helmets beside a motorcycle on pavement.
11149,244901,Two parked bikes on a sidewalk with a person riding a motor bike.
383443,251941,A large white bathroom with two vanity sinks and a bathtub.
467511,252139,two people stand in front of a motorcycle.
209613,261466,Three look alike dogs are herding sheep into a pile.
209613,263731,Small group of sheep being herded by three border collies.
386457,265168,Cat wedged between two large oak doors trying to get out.
209613,266209,These sheep are being watched by three dogs.
77396,266274,These two cats are playing in a room that has a large TV and a laptop computer.
103585,267139,A bathroom with two sinks sitting under mirrors.
37670,267632,Someone holding up a remote with six buttons.
386457,268483,a cat stares through an opening between two doors.
77396,268530,Two cats playing in a room with a laptop and television.
