image_id,id,caption,preposition,subject,object,verb,wrong_preposition,wrong_caption
321333,770625,A picture of two young kids posing or a picture.,of,A picture,two young kids,posing,above,A picture above two young kids posing or a picture.
366611,765550,a dog laying on a soccer ball on a field.,on,dog,soccer ball,laying,out of,a dog laying out of a soccer ball on a field.
490171,370135,A man and a dog riding a surf board in the water.,in,a surf board,the water,riding,within,A man and a dog riding a surf board within the water.
491757,694991,A cat with blue eyes sitting on a pink bed.,with,A cat,blue eyes,sitting,outside,A cat outside blue eyes sitting on a pink bed.
247806,768641,A clock on a bell tower of an old church.,on,A clock,a bell tower,,towards,A clock towards a bell tower of an old church.
145620,734511,a black and white photo of a person riding a dirt bike,of,a black and white photo,a person,riding,like,a black and white photo like a person riding a dirt bike
537270,566393,three people sitting at a table with their cellphones,at,three people,a table,sitting,in,three people sitting in a table with their cellphones
358427,51721,a close up of a fork holding some cooked broccoli,up of,a close,a fork,holding,along,a close up of a fork holding some cooked broccoli
250766,492389,A plate topped with meat and a salad.,with,plate,meat,topped,of,A plate topped of meat and a salad.
130579,15681,A pitcher about to pitch in a baseball game.,about,A pitcher,to pitch,,inside,A pitcher inside to pitch in a baseball game.
13348,734907,A JAL jetliner on the tarmac at an airport.,on,A JAL jetliner,the tarmac,,above,A JAL jetliner above the tarmac at an airport.
129756,460679,A man is standing on a grassy hill with some sheep and dogs.,on,A man,a grassy hill,is standing,up of,A man is standing up of a grassy hill with some sheep and dogs.
242060,628993,A plate of cupcakes on a napkin with spoons and drink glasses.,of,A plate,cupcakes,,during,A plate during cupcakes on a napkin with spoons and drink glasses.
35326,711283,A stove that has a spice rack next to it.,next to,spice rack,it,has,ON,A stove that has a spice rack next to it.
146457,124819,two children being entertained by preparing pizza at home.,by,two children,preparing pizza,being entertained,within,two children being entertained within preparing pizza at home.
233370,622366,A person laying crushed underneath a black piece of luggage.,underneath,person,black piece of luggage,laying,against,A person laying crushed against a black piece of luggage.
430961,770470,A baseball player pitching a baseball on top of a field.,on top of,a baseball,a field,pitching,while,A baseball player pitching a baseball on top of a field.
488270,750839,A white airplane is driving down the runway.,down,airplane,runway,is driving,up at,A white airplane is driving up at the runway.
364297,144988,a cat laying on a computer keyboard and a monitor near by,on,cat,computer keyboard,laying,under,a cat laying under a computer keyboard and a monitor near by
397354,128515,a woman is giving a baby a bottle while others are congregated in the kitchen,in,others,the kitchen,are congregated,within,a woman is giving a baby a bottle while others are congregated within the kitchen
357459,93596,a small dog jumping up to reach a frisbee,up to,dog,frisbee,jumping,off,a small dog jumping up to reach a frisbee
259571,584465,A group of people in the back of a dump-truck.,in,A group of people,the back of a dump-truck,,besides,A group of people besides the back of a dump-truck.
520324,206160,A small airplane sitting next to an airport runway.,next to,airplane,airport runway,sitting,as,A small airplane sitting next to an airport runway.
309467,762204,Two skiers in dark clothing are standing on the snowy slope.,in,Two skiers,dark clothing,are standing,while,Two skiers while dark clothing are standing on the snowy slope.
564336,690171,a man at a restaurant using his laptop ,at,a man,a restaurant,using,with,a man with a restaurant using his laptop
455624,189493,Person driving a plated motorcycle on a track with people watching.,on,a plated motorcycle,a track,driving,by,Person driving a plated motorcycle by a track with people watching.
134034,275927,Two brown horses grazing in a field next to a tree.,in,Two brown horses,a field,grazing,AT,Two brown horses grazing AT a field next to a tree.
47112,35767,A close up image of a half onion and mushroom pizza.,of,image,a half onion and mushroom pizza,,under,A close up image under a half onion and mushroom pizza.
164637,283744,A sink and mirror in a very small bathroom.,in,A sink and mirror,a very small bathroom,,Outside,A sink and mirror Outside a very small bathroom.
473219,687166,A man and woman look into each others eyes while getting married.,into,man and woman,each others eyes,look,above,A man and woman look above each others eyes while getting married.
425361,614657,A man at an office desk drinking a glass of wine.,at,A man,an office desk,drinking,atop,A man atop an office desk drinking a glass of wine.
48564,215117,A man standing in the snow while talking on a cell phone.,in,man,snow,standing,side by side,A man standing side by side the snow while talking on a cell phone.
293300,171821,Two large elephants standing next to a wire fence.,next to,Two large elephants,a wire fence,standing,up of,Two large elephants standing next to a wire fence.
407868,292466,The man in the park is flying his kite.,in,The man,the park,is flying,on top of,The man on top of the park is flying his kite.
67616,99171,Street scene with USA and Mexican flags flying from building above restaurant tables on sidewalk.,with,Street scene,USA and Mexican flags,flying,for,Street scene for USA and Mexican flags flying from building above restaurant tables on sidewalk.
184611,85883,A city street with small carts bing peddled by a men on bikes ,with,A city street,small carts,being peddled,on,A city street on small carts bing peddled by a men on bikes
386879,84251,A woman wearing a red tennis outfit holding onto a racquet.,onto,woman,racquet,holding,among,A woman wearing a red tennis outfit holding among a racquet.
426253,808279,A plate of food being heated in a microwave.,of,plate,food,being heated,across,A plate across food being heated in a microwave.
57150,365933,A girl in plain dress standing next to a white teddy bear.,in,girl,plain dress,standing,in and out,A girl in and out plain dress standing next to a white teddy bear.
563470,488117,a person leaning with her head on a bat ,on,her head,a bat,leaning,off,a person leaning with her head off a bat
