image_id,id,caption
179765,38,A black Honda motorcycle parked in front of a garage.
179765,182,A Honda motorcycle parked in a grass driveway.
190236,401,An office cubicle with four different types of computers.
331352,441,A small closed toilet in a cramped space.
517069,447,Two women waiting at a bench next to a street.
179765,479,A black Honda motorcycle with a dark burgundy seat.
331352,540,A tan toilet and sink combination in a small room.
190236,644,The home office space seems to be very cluttered.
182417,856,A beautiful dessert waiting to be shared by two people.
517069,882,A woman sitting on a bench and a woman standing waiting for the bus.
517069,957,A woman sitting on a bench in the middle of the city.
331352,981,This is an advanced toilet with a sink and control panel.
46378,1158,A cat eating a bird it has caught.
331352,1392,A close-up picture of a toilet with a fountain.
93437,1437,A shot of an elderly man inside a kitchen.
172330,1536,A cat in between two cars in a parking lot.
517069,1614,A woman sitting on a bench and a woman standing behind the bench at a bus stop.
472678,1638,An office cubicle with multiple computers in it.
93437,1707,An old man is wearing an odd hat.
314251,1879,A parade of motorcycles is going through a group of tall trees.
223747,2158,a man sleeping with his cat next to him.
109976,2734,An all white kitchen with an electric stovetop.
190236,2846,an office with desk computer and chair and laptop.
12667,2960,The telephone has a banana where the receiver should be.
331352,2970,Off white toilet with a faucet and controls.
109976,3202,A white stove sits between two small counter tops.
517069,3408,A woman and another woman waiting at a stop.
190236,3464,Office setting with a lot of computer screens.
109976,4459,Close up of a white kitchen setup with a coffee maker on counter.
190236,4700,A desk and chair in an office cubicle.
109976,4747,A white stove and cabinet inside a kitchen.
182417,4882,There is a piece of cake on a plate with decorations on it.
172330,5037,A cat stands between two parked cars on a grassy sidewalk.
182417,5098,Creamy cheesecake dessert with whip cream and caramel.
314251,5245,A group of motorcyclists drive down a tree lined street.
172330,5406,A cat at attention between two parked cars.
223747,5626,A young man and his cute cat enjoy a nap together.
482917,5689,A dog between the feet of a person looking at a TV.
93437,6024,An older man is wearing a funny hat in his dining room.
534605,6151,Man in motorcycle leathers standing in front of a group of bikes.
534605,6271,"Bikers, dressed in their gear, standing near their motorcycles."
223747,6343,A man is sleeping with his head on a pillow.
12667,6443,A banana replacing the phone on an answering machine.
179765,6638,Ma motorcycle parked on the gravel in front of a garage.
482917,6745,A dog and a person are watching television together.
179765,6803,A motorcycle with its brake extended standing outside.
314251,7090,A group of motorcycles down a long street filled with trees on either side.
482917,7237,A person is sitting with their dog watching tv.
472678,7482,An office desk with two flat panel monitors.
172330,7941,A grey and white cat watches from between parked cars.
534605,7990,A group of men stand next to their bicycles.
534605,8173,Three men standing around their motorcycles in a parking lot.
223747,8233,Man sleeping in his bedroom next to a cat.
289393,8242,Set of toy animals sitting in front of a red wooden wagon.
534605,8272,Group of three motorcyclists standing in front of their motorcycles.
12667,8522,A phone with a banana where the receiver should be.
561256,8549,A woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.
12667,8648,A telephone has it receiver replaced with a banana.
46378,8733,A white cat caught a bird outside on a patio.
223747,8845,Man sleeping next to a cat on a bed.
109976,9115,This is a small kitchen with white cabinets and appliances.
338325,9769,A striped plane flying up into the sky as the sun shines behind it.
65485,9862,A dog driving an SUV in an open grass covered field.
226662,9914,A customized motorcycle with more in the background.
338325,9919,An airplane is ascending into the white sky.
11511,10030,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them.
338325,10069,An American Airlines plane is in the sky.
46378,10527,Grey house cat devours a song bird on a door step.
182417,10897,An extravagant dessert on a plate overlooking the water.
172330,10935,A grey and white cat standing in the grass in a parking lot.
11511,10939,A metal statue of two women sits on a bench in a city street.
221754,11008,There is very little traffic at this city intersection.
472678,11319,"An office desk with two computer screens, books diagrams and a phone on it."
226662,11519,A black and white photograph of a motorcycle.
472678,11616,Two computer monitors are placed beside each other on a desk.
249025,11734,An orange reddish rose in a vase filled with water on top of a table.
255965,11805,A cat pausing as it's picture is taken.
255965,11880,A blue eyed tabby cat crouched on the ground.
561256,11906,A woman in a flowered dress taking a selfie in a bathroom mirror.
226662,12029,Black and white photo of a parked motorcycle.
51598,12242,A black trash bag in a restroom next to a sink.
93437,12357,A man in a jacket and hat looks at the camera.
289393,12391,"Several toy animals - a bull, giraffe, deer and parakeet."
561256,12740,An older woman in a flower dress takes a self photo in the mirror.
65485,12973,A dog sits in the front seat of a jeep.
445846,13014,A clean kitchen with the windows white and open.
289393,13306,Some toy animals on the ground near a picture.
221754,13501,An urban intersection with stoplights on a cloudy day.
482917,13606,"A man relaxing at home, watching television with his dog."
289393,13618,Children's toy animals are strewn across a floor.
192871,13634,A glass bowl filled with oranges on a table.
338325,14008,"A red, white, and blue plane is in the sky."
365642,14058,A young attractive woman sitting on a toilette on the side of a street.
393569,14206,A young woman using a laptop computer while sitting on a bunk bed.
226662,14330,Several custom made motorcycles on display while riders chat.
255965,14370,A black cat with white stomach takes a pose.
116479,14446,An old victorian style bed frame in a bedroom.
63740,14472,Two computers sitting on top of a desk.
338325,14791,A plane flies through the sky at an angle.
226662,15425,A customized motorcycle with a large rear and skinny front tire.
570736,15462,A view of a bathroom that is clean.
51598,15485,a garbage bag in a white lighted bathroom.
93437,15621,An old man standing in a kitchen posing for a picture.
46378,15894,A long haired cat eating a dead bird.
192871,15959,A close up of oranges and apples in a bowl.
365642,15969,A person sitting on a stool on the street.
472678,16074,A desk with two monitors depicting security cameras.
289393,16252,A display of vintage animal toys on the floor.
393569,16408,A person that is sitting in a bed facing out.
255965,16437,A cat sitting on a street corner looking at the camera.
492937,16613,A close up of a bike brake on a bicycle.
314251,16726,A group of people riding mopeds through a park.
11511,16927,A statue of two women with purses sitting on a bench.
255965,17058,a stripped cat sitting near a brick wall.
221754,17065,a city street with multiple bildings and a street light.
249025,17068,A yellow rose in a clear vase filled with water.
117425,17147,A toddler celebrates his birthday with a cupcake.
393569,17275,A young girl sits in the bottom bunk of her bunkbed.
570736,17358,"A bathroom with a vanity, toilet and shower."
561256,17402,A woman in a yellow bathroom is holding a camera.
192871,17477,A glass bowl has oranges and apples in it.
249025,17536,There are two yellow flowers inside a vase.
159977,17539,A giraffe and a zebra checking each other out.
445846,17583,"Spacious white kitchen with brown cabinetry, sink and appliances."
65485,18010,A dog is sitting inside a red car.
365642,18027,A woman sitting on a bucket on the side of a street.
65485,18037,A red truck has a black dog in the drivers chair.
51598,18251,"The bathroom has a wall sink, medicine cabinet, toothbrush holder, and bare walls."
492937,18275,A bicycle is chained up to a pole at a train station.
51598,18317,A door is open to a white bathroom that has a black garbage back on the floor.
65485,18520,A dog sitting in the front seat of a truck.
63740,18549,A laptop computer and a desktop computer on a white desk.
365642,18675,A woman is sitting on a stool on a sidewalk.
159977,19000,A giraffe and a zebra are on a grassy field by the water.
393569,19009,A bedroom with bunk beds and the bathroom next door.
11511,19042,A statue of two people sitting on a bench.
232538,19206,A yellow and blue train is next to an overhang.
192871,19259,A glass bowl full of oranges and apples.
117425,19394,A young boy with a spoon looking at a birthday cupcake.
159977,19396,A giraffe and a zebra walking through an African plain.
63740,19458,A desktop with two computers and fruit on it.
249025,19468,A beautiful yellow rose is seen in a small vase.
561256,19511,A woman taking a picture of herself in a bathroom.
492937,19526,a vintage photo of a bike eith a lock on it.
51598,19553,The bathroom door is open with the light on.
159977,19702,A giraffe looks down at a zebra on the field.
11511,19711,A metal statue of two women sitting on a bench.
314251,19843,A group of scooters rides down a street.
393569,19942,Three people live in one room who share a bathroom.
192871,19973,One apple and several oranges sit in a bowl.
249025,20431,Two orange roses in a small vase with water.
492937,20657,A close up of a bicycle parked on a train platform.
445846,20850,An office kitchen with open windows and no food.
63740,20910,A lap top computer next to a computer monitor sitting on top of a desk.
492937,20933,The bicycle is locked to the metal pole as the young man waits to board the mass transit train.
117425,20939,A baby holding a spoon looking at a cupcake and candle.
159977,20989,a zebra and a giraffe in the wild.
177934,21197,A group of women operating a car wash.
96549,21407,An airplane on the runway either just landed or ready to take off.
445846,21453,"An extremely plain, and outdated white colored kitchen."
117425,21497,A child holds a spoon and looks at a cupcake.
445846,21534,A kitchen scene is shown with cabinets and appliances.
469192,21608,A car is parked on dry grass with kites overhead.
117425,21647,a young child looking at a birthday cupcake.
177934,22004,Young women washing motor cycles in the middle of a street.
221754,22603,A four cross street of a downtown area.
96549,23129,An Egyptian airlines plane landing at an airport.
469192,23321,A truck driving through a field with people flying kites.
469192,23795,An open field with a truck and some kites being flown.
232538,23799,A train sits on the track at a deserted station overlooked by a tower.
469192,24392,A pickup truck is parked underneath multiple flying kites.
44652,24695,A flying plane with smoke trailing behind it.
177934,24725,Two young women are washing two motorcycles with hoses..
210502,24781,Part of train car with a door to the rear connected to the car behind it.
116479,24877,A bed in a bedroom with a white covering next to a doorway.
232538,25173,A colorful train stopped at a train station.
298396,25178,Kitchen area with counter top space and dining room table.
187513,25257,A bathroom with a sliding shower door next to a toilet.
44652,25259,An single passanger in an airplane flying through the sky.
552883,25373,"A view of a kitchen with cabinets, a sink and a clothes washer."
232538,25434,A passenger train stopped near a train station.
469192,25514,A truck sitting on a field with kites in the air.
116479,25609,A canopy bed with white see through curtains.
96549,25793,A commercial plane on the strip to take off.
552883,26024,A counter top in a laundry room with a tile back splash.
44652,26486,An old airplane is flying through the sky.
570736,26499,The bathroom features a vanity sink and tub/shower combination.
116479,26548,a white bed and a ceiling fan light.
228214,26764,A Marine that is looking at his cell phone.
552883,26807,A empty laundry room with lot of storage space.
221754,27196,A wide empty street corner filled with buildings.
116479,27403,A poster bed with canopy in a room.
177934,27587,Girls wash a motorcycle while men look on.
232538,27717,A train is pulling into the train station.
570736,27741,A small bathroom is featured in this photo.
177934,27869,A group of people standing near the motorcycles on the street.
63740,27981,a laptop computer a keyboard and two monitors.
552883,28145,a kitchen with wooden cabinets a sink and a dish washer.
210502,28225,A train with a striped door waiting on a train track.
453634,28350,A bathroom with a toilette with it's seat down.
228214,28477,A marine in uniform using a smart phone.
96549,28520,A jumbo jet touching down on the runway.
210502,28738,this the outside of a train with a slanted striped door.
187513,28968,A bathroom with green walls and a toilet and a shower.
201775,29195,A bathroom with two urinals and a sink.
570736,29391,"a cream themed bathroom with a toilet, sink with mirror, and shower."
298396,29483,A fully-stocked kitchen with no one in it.
552883,29570,a light green kitchen some cabinets a dish washer and a sink.
187513,29607,A photograph of a newly remodeled bathroom in a home.
201775,29720,White stalls installed on the walls of a men's room.
228214,29962,A full dressed marine is looking at his cell phone.
201775,30110,Men's restroom with toilet and urinals along tiled walls.
391375,30345,A girl sitting on a bench in front of a stone wall.
