sentence,negation,negated_noun
The tree does not have any leaves.,Not,Leaves
There is no moon in the night sky.,No,Moon
The room is not filled with people.,Not,People
There isn't a single bird in the sky.,Isn't,Bird
"The playground is empty, no children are playing.",No,Children
"The park was beautiful, without a single bird in sight.",Without,Bird
"Even though it was noon, there was no sun in the sky.",No,Sun
"Despite being in the middle of the city, there wasn't a building to be seen.",Wasn't,Building
"She sat on the hill, not a tree around her.",Not,Tree
The beautiful meadow is not populated by any unicorns.,Not,Unicorns
"Despite the festive season, there are no Christmas trees in the modern living room.",No,Christmas trees
The busy city street does not have a single tree.,Not,Tree
The tranquil beach scene is devoid of any seagulls.,Devoid of,Seagulls
The clear night sky doesn't contain a moon.,Doesn't contain,Moon
The park is devoid of any dogs.,Devoid of,Dogs
There are no umbrellas on the sandy beach.,No,Umbrellas
The bustling city street lacks any trees.,Lacks,Trees
The room is not filled with any balloons.,Not filled with,Balloons
The starry night sky is without a moon.,Without,Moon
"The park was serene, without a single child in sight.",Without,Child
"The forest was silent, not a bird could be heard.",Not,Bird
"The beach was deserted, no people were around.",No,People
"The sky was clear, devoid of any clouds.",Devoid of,Clouds
"The room was empty, absent of any furniture.",Absent of,Furniture
"The park is empty, with no children playing on the swings.",No,Children
"There isn't a single bird in the clear, blue sky.",Isn't,Bird
The library is silent; not a whisper can be heard.,Not,Whisper
The cupboards were bare; there was no food to be seen.,No,Food
"In the moonlit forest, there are no wolves howling.",No,Wolves
"The forest is silent, there are no birds chirping.",No,Birds
There isn't a single cloud in the clear blue sky.,Isn't,Cloud
"The park is empty, not a soul in sight.",Not,Soul
"Despite the chill, there are no snowflakes falling from the sky.",No,Snowflakes
The garden is not filled with roses.,Not,Roses
The sky above the city is without stars.,Without,Stars
The child's room is devoid of toys.,Devoid of,Toys
The picnic table is not covered with food.,Not,Food
The beach is empty of people.,Empty of,People
The park is calm without children playing on the swings.,Without,Children playing on the swings
No birds are flying against the sunset sky.,No,Birds flying against the sunset sky
The room isn't filled with antique furniture.,Isn't,Antique furniture
There are no flowers blooming in the garden.,No,Flowers blooming in the garden
The beach doesn't have any seashells scattered around.,Doesn't have,Seashells scattered around
The apple tree does not bear any fruits.,Not,Fruits
There are no clouds in the clear blue sky.,No,Clouds
The room is not lit by a lamp.,Not,Lamp
The suitcase does not contain any clothes.,Not,Clothes
There is no rainbow after the rain.,No,Rainbow
There is no dog barking in the quiet neighborhood.,No,Dog barking
"The beach is empty, not a single seagull in sight.",Not a single,Seagull
