image_id,id,caption,preposition,subject,object,verb,wrong_preposition,wrong_caption
321333,770625,A picture of two young kids posing or a picture.,of,A picture,two young kids,posing,,
366611,765550,a dog laying on a soccer ball on a field.,on,dog,soccer ball,laying,,
490171,370135,A man and a dog riding a surf board in the water.,in,a surf board,the water,riding,,
491757,694991,A cat with blue eyes sitting on a pink bed.,with,A cat,blue eyes,sitting,,
247806,768641,A clock on a bell tower of an old church.,on,A clock,a bell tower,,,
145620,734511,a black and white photo of a person riding a dirt bike,of,a black and white photo,a person,riding,,
537270,566393,three people sitting at a table with their cellphones,at,three people,a table,sitting,,
358427,51721,a close up of a fork holding some cooked broccoli,up of,a close,a fork,holding,,
250766,492389,A plate topped with meat and a salad.,with,plate,meat,topped,,
130579,15681,A pitcher about to pitch in a baseball game.,about,A pitcher,to pitch,,,
13348,734907,A JAL jetliner on the tarmac at an airport.,on,A JAL jetliner,the tarmac,,,
129756,460679,A man is standing on a grassy hill with some sheep and dogs.,on,A man,a grassy hill,is standing,,
242060,628993,A plate of cupcakes on a napkin with spoons and drink glasses.,of,A plate,cupcakes,,,
35326,711283,A stove that has a spice rack next to it.,next to,spice rack,it,has,,
146457,124819,two children being entertained by preparing pizza at home.,by,two children,preparing pizza,being entertained,,
233370,622366,A person laying crushed underneath a black piece of luggage.,underneath,person,black piece of luggage,laying,,
430961,770470,A baseball player pitching a baseball on top of a field.,on top of,a baseball,a field,pitching,,
488270,750839,A white airplane is driving down the runway.,down,airplane,runway,is driving,,
364297,144988,a cat laying on a computer keyboard and a monitor near by,on,cat,computer keyboard,laying,,
397354,128515,a woman is giving a baby a bottle while others are congregated in the kitchen,in,others,the kitchen,are congregated,,
357459,93596,a small dog jumping up to reach a frisbee,up to,dog,frisbee,jumping,,
259571,584465,A group of people in the back of a dump-truck.,in,A group of people,the back of a dump-truck,,,
520324,206160,A small airplane sitting next to an airport runway.,next to,airplane,airport runway,sitting,,
309467,762204,Two skiers in dark clothing are standing on the snowy slope.,in,Two skiers,dark clothing,are standing,,
564336,690171,a man at a restaurant using his laptop ,at,a man,a restaurant,using,,
455624,189493,Person driving a plated motorcycle on a track with people watching.,on,a plated motorcycle,a track,driving,,
134034,275927,Two brown horses grazing in a field next to a tree.,in,Two brown horses,a field,grazing,,
47112,35767,A close up image of a half onion and mushroom pizza.,of,image,a half onion and mushroom pizza,,,
164637,283744,A sink and mirror in a very small bathroom.,in,A sink and mirror,a very small bathroom,,,
473219,687166,A man and woman look into each others eyes while getting married.,into,man and woman,each others eyes,look,,
425361,614657,A man at an office desk drinking a glass of wine.,at,A man,an office desk,drinking,,
48564,215117,A man standing in the snow while talking on a cell phone.,in,man,snow,standing,,
293300,171821,Two large elephants standing next to a wire fence.,next to,Two large elephants,a wire fence,standing,,
407868,292466,The man in the park is flying his kite.,in,The man,the park,is flying,,
67616,99171,Street scene with USA and Mexican flags flying from building above restaurant tables on sidewalk.,with,Street scene,USA and Mexican flags,flying,,
184611,85883,A city street with small carts bing peddled by a men on bikes ,with,A city street,small carts,being peddled,,
386879,84251,A woman wearing a red tennis outfit holding onto a racquet.,onto,woman,racquet,holding,,
426253,808279,A plate of food being heated in a microwave.,of,plate,food,being heated,,
57150,365933,A girl in plain dress standing next to a white teddy bear.,in,girl,plain dress,standing,,
563470,488117,a person leaning with her head on a bat ,on,her head,a bat,leaning,,
486046,426237,a close up of a giraffe with a zebra in the background,up of,a close,a giraffe,,,
368900,104038,A TV sits in a room with many other things.,in,A TV,a room,sits,,
407298,414035,A young boy wearing a catchers mitt holding a ball.,wearing,A young boy,a catchers mitt,holding,,
76261,255949,two birds fly in the sky over mountains,in,two birds,the sky,fly,,
556765,36608,An elephant with red on it's face in the water.,with,An elephant,red,,,
425702,41595,A man walking on the beach carrying a surfboard.,on,man,beach,walking,,
500565,285753,A woman holding a child wrapped in a towel brushing her teeth.,in,child,towel,wrapped,,
546556,787666,A flock of sheep lie down in a field.,in,a flock of sheep,a field,lie down,,
50149,430295,A group of bunches of bananas are shown hanging together.,of,group,bunches,are shown,,
549220,569526,a dog that is sitting on a skate board,on,dog,skate board,sitting,,
303566,768391,A bunch of boxes that have fruit inside of them.,of,bunch,boxes,have,,
500716,74246,A man looking through a thumb hole on a scissors.,through,man,thumb hole,looking,,
434459,27141,A man and a woman cutting up a big sheet cake.,up,A man and a woman,a big sheet cake,cutting,,
426241,325298,Many electronic devices and a tangle of wires are on and around the desk.,on,Many electronic devices and a tangle of wires,the desk,are,,
80273,217727,a man snow boarding with snow gear on ,with,a man,snow gear,snow boarding,,
367680,654453,A horse drawn carriage among several other motor vehicles on a road.,among,A horse drawn carriage,several other motor vehicles,,,
493799,172833,A white plate full of cooked meat and vegetables.,of,plate,cooked meat and vegetables,,,
470779,490736,a group of people with skiis standing next to each other ,of,group,people,,,
276707,827061,A close-up of a street sign with small shops in the background.,of,A close-up,a street sign,,,
