image_id,id,caption_words,caption_digits
190236,401,An office cubicle with four different types of computers.,An office cubicle with 4 different types of computers.
517069,447,Two women waiting at a bench next to a street.,2 women waiting at a bench next to a street.
182417,856,A beautiful dessert waiting to be shared by two people.,A beautiful dessert waiting to be shared by 2 people.
172330,1536,A cat in between two cars in a parking lot.,A cat in between 2 cars in a parking lot.
109976,3202,A white stove sits between two small counter tops.,A white stove sits between 2 small counter tops.
172330,5037,A cat stands between two parked cars on a grassy sidewalk.,A cat stands between 2 parked cars on a grassy sidewalk.
172330,5406,A cat at attention between two parked cars.,A cat at attention between 2 parked cars.
472678,7482,An office desk with two flat panel monitors.,An office desk with 2 flat panel monitors.
534605,8173,Three men standing around their motorcycles in a parking lot.,3 men standing around their motorcycles in a parking lot.
534605,8272,Group of three motorcyclists standing in front of their motorcycles.,Group of 3 motorcyclists standing in front of their motorcycles.
11511,10030,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them.,A sculpture of 2 women stting on a bench with their purses on the ground while people standing in a line behind them.
11511,10939,A metal statue of two women sits on a bench in a city street.,A metal statue of 2 women sits on a bench in a city street.
472678,11319,"An office desk with two computer screens, books diagrams and a phone on it.","An office desk with 2 computer screens, books diagrams and a phone on it."
472678,11616,Two computer monitors are placed beside each other on a desk.,2 computer monitors are placed beside each other on a desk.
63740,14472,Two computers sitting on top of a desk.,2 computers sitting on top of a desk.
472678,16074,A desk with two monitors depicting security cameras.,A desk with 2 monitors depicting security cameras.
11511,16927,A statue of two women with purses sitting on a bench.,A statue of 2 women with purses sitting on a bench.
249025,17536,There are two yellow flowers inside a vase.,There are 2 yellow flowers inside a vase.
11511,19042,A statue of two people sitting on a bench.,A statue of 2 people sitting on a bench.
63740,19458,A desktop with two computers and fruit on it.,A desktop with 2 computers and fruit on it.
11511,19711,A metal statue of two women sitting on a bench.,A metal statue of 2 women sitting on a bench.
393569,19942,Three people live in one room who share a bathroom.,3 people live in 1 room who share a bathroom.
192871,19973,One apple and several oranges sit in a bowl.,1 apple and several oranges sit in a bowl.
249025,20431,Two orange roses in a small vase with water.,2 orange roses in a small vase with water.
221754,22603,A four cross street of a downtown area.,A 4 cross street of a downtown area.
177934,24725,Two young women are washing two motorcycles with hoses..,2 young women are washing 2 motorcycles with hoses..
63740,27981,a laptop computer a keyboard and two monitors.,a laptop computer a keyboard and 2 monitors.
201775,29195,A bathroom with two urinals and a sink.,A bathroom with 2 urinals and a sink.
298396,29483,A fully-stocked kitchen with no one in it.,A fully-stocked kitchen with no 1 in it.
201775,30641,"A public bathroom with two urinals on a wall, and sink with a mirror over it on another wall.","A public bathroom with 2 urinals on a wall, and sink with a mirror over it on another wall."
201775,30707,Two urinals and a sink in a bathroom.,2 urinals and a sink in a bathroom.
557501,33461,a bathroom with two sinks near towel and soap dispensers.,a bathroom with 2 sinks near towel and soap dispensers.
557501,33746,A restroom with two sinks and a red colored stall.,A restroom with 2 sinks and a red colored stall.
127987,35494,A baseball player bobble head next to two computer monitors on a desk.,A baseball player bobble head next to 2 computer monitors on a desk.
435880,37728,A refrigerator and freezer placed next to one another.,A refrigerator and freezer placed next to 1 another.
368335,39043,a brown horse is walking in between two cars.,a brown horse is walking in between 2 cars.
204186,40309,Racers riding four wheelers while a crowd watches.,Racers riding 4 wheelers while a crowd watches.
368335,41113,A horse walking between the parking spaces of two cars.,A horse walking between the parking spaces of 2 cars.
127987,42985,A desk with two computer screens and a Cecil Cooper bobble head.,A desk with 2 computer screens and a Cecil Cooper bobble head.
368335,43048,A horse is standing between two parked cars.,A horse is standing between 2 parked cars.
204186,43060,Spectators enjoying a show of two men on four-wheelers.,Spectators enjoying a show of 2 men on four-wheelers.
204186,43843,Two men ride on atv's and tilt them to the side.,2 men ride on atv's and tilt them to the side.
423798,44241,"An empty street at night with bright lights shining from the light poles, and one very bight light reflecting off the pavement.","An empty street at night with bright lights shining from the light poles, and 1 very bight light reflecting off the pavement."
204186,45322,Two men doing a stunt show on four wheeler ATV vehicles.,2 men doing a stunt show on 4 wheeler ATV vehicles.
368335,45775,"From the rear, we see a horse standing between two cars parked in a parking lot.","From the rear, we see a horse standing between 2 cars parked in a parking lot."
102411,50819,Two people riding a motorcycle to the beach.,2 people riding a motorcycle to the beach.
102411,56807,Two people sitting on a motorcycle in the street next to a beach.,2 people sitting on a motorcycle in the street next to a beach.
543047,59777,"A living room and dining room have two tables, couches, and multiple chairs.","A living room and dining room have 2 tables, couches, and multiple chairs."
102411,61028,Two people are riding a motorcycle on the beach.,2 people are riding a motorcycle on the beach.
86220,64471,A white car and a white bus parked parallel from one another.,A white car and a white bus parked parallel from 1 another.
571804,70521,Ten porcelain pieces with floral patterns painted on them.,10 porcelain pieces with floral patterns painted on them.
78404,70600,Three women sitting on a park bench next to each other.,3 women sitting on a park bench next to each other.
71711,75935,An air hanger with two world war two airplanes parked next to each other.,An air hanger with 2 world war 2 airplanes parked next to each other.
221708,76267,A kitchen with a table and four chairs.,A kitchen with a table and 4 chairs.
